,Questions,Intent,Entity,Main_Entities,Questions_with_entities
0,What does lock mean?,information_seek,['connectivity lock'],['connection'],What does lock mean?
1,What does network connectivity mean?,information_seek,['network connectivity'],['connection'],what does [network connectivity](connection) mean?
2,What is network connectivity enabled?,information_seek,['network connectivity'],['connection'],what is [network connectivity](connection) enabled?
3,What is network connectivity disabled?,information_seek,['network connectivity'],['connection'],what is [network connectivity](connection) disabled?
4,What does in-session mean?,information_seek,['in-session'],['option'],what does [in-session](option) mean?
5,What is billing state xx?,information_seek,['billing state'],['option'],what is [billing state](option) xx?
6,What is the difference between network connectivity and billing states?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']",what is the difference between [network connectivity](connection) and [billing state](option)s?
7,How can I customize my view?,Learn,['view'],['attribute'],how can i customize my [view](attribute)?
8,Can I customize my view?,Learn,['view'],['attribute'],can i customize my [view](attribute)?
9,Can I hide the custom counters?,Learn,['counters'],['widget.'],can i hide the custom [counters](widget.)?
10,How can I select which columns to display?,Learn,"['column', 'view']","['attribute', 'attribute']",how can i select which [column](attribute)s to display?
11,Can I somehow see more rows in one view?,Learn,"['row', 'view']","['attribute', 'attribute']",can i somehow see more [row](attribute)s in one [view](attribute)?
12,How can I see which subscriptions have had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']",how can i see which [subscription](inventory)s have had traffic today?
13,How can I see if a subscription is misbehaving?,Learn,['subscription'],['inventory'],how can i see if a [subscription](inventory) is misbehaving?
14,What are custom fields?,information_seek,['custom fields'],['widget'],what are [custom fields](widget)?
15,How can I define custom fields?,Learn,['custom fields'],['widget'],how can i define [custom fields](widget)?
16,How can I use custom fields?,Learn,['custom fields'],['widget'],how can i use [custom fields](widget)?
17,What are summary counters?,information_seek,['summary counter'],['widget'],what are [summary counter](widget)s?
18,How can I define summary counters?,Learn,['summary counter'],['widget'],how can i define [summary counter](widget)s?
19,How can I use summary counters?,Learn,['summary counter'],['widget'],how can i use [summary counter](widget)s?
20,Can I save my settings?,Learn,['settings'],['option'],can i save my [settings](option)?
