,questions,intents,include
0,fetch the traffic generated last 30 days.,fetch,
1,fetch the traffic generated last 30 days?,fetch,
2,What is the traffic generated last 30 days?,fetch,
3,What is the traffic generated in last 30 days?,fetch,
4,What is traffic generated last 30 days?,fetch,
5,What is traffic generated in last 30 days?,fetch,
6,How do I fetch traffic generated last 30 days?,fetch,
7,How can I fetch traffic generated last 30 days?,fetch,
8,How do I get traffic generated last 30 days?,fetch,
9,How can I get traffic generated last 30 days?,fetch,
10,fetch the subscription created in last 30 days.,fetch,
11,fetch the subscription created in last 30 days?,fetch,
12,How do I fetch the subscription created in last 30 days?,fetch,
13,How can I fetch the subscription created in last 30 days?,fetch,
14,What is the subscription created in last 30 days?,fetch,
15,How do I fetch subscription created in last 30 days?,fetch,
16,How can I fetch subscription created in last 30 days?,fetch,
17,How do I fetch my subscription created in last 30 days?,fetch,
18,How do I fetch subscriptions created in last 30 days?,fetch,
19,How can I fetch my subscription created in last 30 days?,fetch,
20,Show me the subscription with the largest traffic.,fetch,
21,show me the subscription with the largest traffic.,fetch,
22,Show me the subscription with largest traffic.,fetch,
23,Show me the subscription with the biggest traffic.,fetch,
24,show me the subscription with largest traffic.,fetch,
25,Show me the subscriber with the largest traffic.,fetch,
26,show me the subscription with the biggest traffic.,fetch,
27,Show me the subscription with the most traffic.,fetch,
28,show me the subscriber with the largest traffic.,fetch,
29,Show me the subscription with biggest traffic.,fetch,
30,Bring me location with largest traffic.,fetch,
31,bring me location with largest traffic.,fetch,
32,Where can I get the most traffic?,fetch,
33,What is the best location for traffic?,fetch,
34,What is the best location to get traffic?,fetch,
35,What is the best location with the most traffic?,fetch,
36,bring me location with largest traffic?,fetch,
37,What is the best location to bring me?,fetch,
38,bring me location with the largest traffic.,fetch,
39,Bring me location with the largest traffic.,fetch,
40,Show me the report.,fetch,
41,Can you show me the report?,fetch,
42,Show me the report?,fetch,
43,Show me the report!,fetch,
44,show me the report.,fetch,
45,Give me the report.,fetch,
46,Do you want to see the report?,fetch,
47,What is the report?,fetch,
48,Could you show me the report?,fetch,
49,Can you show me a report?,fetch,
50,How do I generate invoices?,fetch,
51,How can I generate invoices?,fetch,
52,How do you generate invoices?,fetch,
53,How do I generate invoices?,fetch,
54,how do I generate invoices?,fetch,
55,How should I generate invoices?,fetch,
56,How do we generate invoices?,fetch,
57,How do I generate an invoice?,fetch,
58,What should I do to generate invoices?,fetch,
59,How does one generate invoices?,fetch,
60,How do I get usage data?,fetch,
61,What is your usage data?,fetch,
62,Can you give me usage data?,fetch,
63,What is the usage data?,fetch,
64,How can I get usage data?,fetch,
65,Where can I get usage data?,fetch,
66,Can you give me the usage data?,fetch,
67,Do you have usage data?,fetch,
68,What are your usage data?,fetch,
69,What are the usage data?,fetch,
70,What is list purchase inventory?,fetch,
71,What is a list purchase inventory?,fetch,
72,What is a list purchase inventory?,fetch,
73,What is list purchase inventory?,fetch,
74,what is a list purchase inventory?,fetch,
75,What does list purchase inventory mean?,fetch,
76,List purchase inventory.,fetch,
77,What is a list buy inventory?,fetch,
78,List purchase inventory?,fetch,
79,what is list purchase inventory?,fetch,
80,What is the difference between sim and euicc?,info_compare,
81,What is the difference between euicc and sim?,info_compare,
82,What's the difference between sim and euicc?,info_compare,
83,what is the difference between sim and euicc?,info_compare,
84,What is the difference between sim and euicc?,info_compare,
85,What are the differences between sim and euicc?,info_compare,
86,What is the difference between sim and Euicc?,info_compare,
87,What's the difference between euicc and sim?,info_compare,
88,what is the difference between euicc and sim?,info_compare,
89,What is the difference between network connectivity and connectivity lock?,info_compare,
90,what is the difference between network connectivity and connectivity lock?,info_compare,
91,Can you please tell me difference between network connectivity and connectivity lock?,info_compare,
92,What are the differences between network connectivity and connectivity lock?,info_compare,
93,Can you please tell me comparison between network connectivity and connectivity lock?,info_compare,
94,What's the difference between network connectivity and connectivity lock?,info_compare,
95,What is the difference between network connectivity and connectivity lock?,info_compare,
96,What is the difference between connectivity lock and network connectivity?,info_compare,
97,can you please tell me difference between network connectivity and connectivity lock?,info_compare,
98,can you please tell me comparison between network connectivity and connectivity lock?,info_compare,
99,What is the difference between imei and msisdn?,info_compare,
100,What are the differences between imei and msisdn?,info_compare,
101,How can I compare imei and msisdn?,info_compare,
102,Can you compare imei and msisdn?,info_compare,
103,What is the comparison between imei and msisdn?,info_compare,
104,How do I compare imei and msisdn?,info_compare,
105,What is the difference between imei and msisdn?,info_compare,
106,what is the difference between imei and msisdn?,info_compare,
107,Can I compare imei and msisdn?,info_compare,
108,What is the difference between msisdn and imei?,info_compare,
109,What is the difference between summary counters and column filters?,info_compare,
110,What is the difference between column filters and summary counters?,info_compare,
111,What are summary counters and column filters?,info_compare,
112,What are the differences between summary counters and column filters?,info_compare,
113,How do you differentiate between summary counters and column filters?,info_compare,
114,what is the difference between summary counters and column filters?,info_compare,
115,How do I differentiate between summary counters and column filters?,info_compare,
116,What is the difference between summary counter and column filter?,info_compare,
117,What is the difference between column filter and summary counter?,info_compare,
118,What are the difference between summary counters and column filters?,info_compare,
119,What is billing state active and inactive?,info_compare,
120,What is the billing state active and inactive?,info_compare,
121,What are billing states active and inactive?,info_compare,
122,What are billing state active and inactive?,info_compare,
123,Is billing state active or inactive?,info_compare,
124,What are the billing states active and inactive?,info_compare,
125,What are the billing state active and inactive?,info_compare,
126,What is billing state inactive and active?,info_compare,
127,How is billing state active and inactive?,info_compare,
128,What is the billing state inactive and active?,info_compare,
129,What is the difference between billing state active and inactive?,info_compare,
130,What is the difference between active and inactive billing states?,info_compare,
131,How do I distinguish between billing state active and inactive?,info_compare,
132,What is the difference between active and inactive billing state?,info_compare,
133,What is the difference between billing state inactive and active?,info_compare,
134,How do you distinguish between billing state active and inactive?,info_compare,
135,How do I differentiate between billing state active and inactive?,info_compare,
136,What is the difference between inactive and active billing states?,info_compare,
137,What is the difference between inactive and active billing state?,info_compare,
138,How can I distinguish between billing state active and inactive?,info_compare,
139,What is the difference between network connectivity enabled and disabled?,info_compare,
140,How can I differentiate between network connectivity enabled and disabled?,info_compare,
141,What are the differences between network connectivity enabled and disabled?,info_compare,
142,Is network connectivity enabled or disabled?,info_compare,
143,Can you differentiate between network connectivity enabled and disabled?,info_compare,
144,Can we differentiate between network connectivity enabled and disabled?,info_compare,
145,How do I differentiate between network connectivity enabled and disabled?,info_compare,
146,How do you differentiate between network connectivity enabled and disabled?,info_compare,
147,Why is network connectivity disabled?,info_compare,
148,Can we distinguish between network connectivity enabled and disabled?,info_compare,
